"fluorochrome"	"channel"	"machine"	"type"
"A488"	"b-LP502 530/30-E-A"	"Animal"	"marker"
"Calcein"	"b-LP502 530/30-E-A"	"Animal"	"livedead"
"Calcein AM"	"b-LP502 530/30-E-A"	"Animal"	"livedead"
"FITC"	"b-LP502 530/30-E-A"	"Animal"	"marker"
"VioBrightFITC"	"b-LP502 530/30-E-A"	"Animal"	"marker"
"FDA"	"b-LP502 530/30-E-A"	"Animal"	"livedead"
"CFSE"	"b-LP502 530/30-E-A"	"Animal"	"prolif"
"PerCP"	"b-LP655 LP670-B-A"	"Animal"	"marker"
"PerCPCy5.5"	"b-LP655 LP670-B-A"	"Animal"	"marker"
"PI"	"b-LP655 LP670-B-A"	"Animal"	"livedead"
"PeCy7"	"b-LP735 780/60-A-A"	"Animal"	"marker"
"PeVio770"	"b-LP735 780/60-A-A"	"Animal"	"marker"
"7AAD"	"b-LP735 780/60-A-A"	"Animal"	"livedead"
"7-AAD"	"b-LP735 780/60-A-A"	"Animal"	"livedead"
"Pe"	"PE-A"	"Animal"	"marker"
"Resazurin"	"PE-A"	"Animal"	"livedead"
"A647"	"r-660/20-C-A"	"Animal"	"marker"
"APC"	"r-660/20-C-A"	"Animal"	"marker"
"TOPRO3"	"r-660/20-C-A"	"Animal"	"livedead"
"TO-PRO3"	"r-660/20-C-A"	"Animal"	"livedead"
"TO-PRO-3"	"r-660/20-C-A"	"Animal"	"livedead"
"Cy5"	"r-660/20-C-A"	"Animal"	"marker"
"A700"	"r-LP685 720/30-A-A"	"Animal"	"marker"
"APCCy7"	"r-LP685 720/30-A-A"	"Animal"	"marker"
"APCeF780"	"r-LP685 720/30-A-A"	"Animal"	"marker"
"APCFire750"	"r-LP685 720/30-A-A"	"Animal"	"marker"
"APCH7"	"r-LP685 720/30-A-A"	"Animal"	"marker"
"APCVio770"	"r-LP685 720/30-A-A"	"Animal"	"marker"
"DRAQ7"	"r-LP685 720/30-A-A"	"Animal"	"livedead"
"eF670"	"r-LP685 720/30-A-A"	"Animal"	"marker"
"eFluor670"	"r-LP685 720/30-A-A"	"Animal"	"marker"
"A405"	"v-450/50-B-A"	"Animal"	"marker"
"BV421"	"v-450/50-B-A"	"Animal"	"marker"
"DAPI"	"v-450/50-B-A"	"Animal"	"livedead"
"eFluor450"	"v-450/50-B-A"	"Animal"	"marker"
"eF450"	"v-450/50-B-A"	"Animal"	"marker"
"FVD450"	"v-450/50-B-A"	"Animal"	"marker"
"Hoechst33342"	"v-450/50-B-A"	"Animal"	"livedead"
"PacBlue"	"v-450/50-B-A"	"Animal"	"marker"
"V450"	"v-450/50-B-A"	"Animal"	"marker"
"VioBlue"	"v-450/50-B-A"	"Animal"	"marker"
