fluorochrome	type
7-AAD	livedead
7AAD	livedead
A405	marker
A488	marker
A647	marker
A700	marker
APC	marker
APCCy7	marker
APCeF780	marker
APCFire750	marker
APCH7	marker
APCVio770	marker
Biotin	misc
BUV395	marker
BUV563	marker
BUV737	marker
BUV805	marker
BV421	marker
BV510	marker
BV570	marker
BV605	marker
BV650	marker
BV711	marker
BV785	marker
BV786	marker
Calcein	livedead
Calcein AM	livedead
CFSE	prolif
Cy5	marker
DAPI	livedead
DRAQ7	livedead
eF450	marker
eF670	marker
eFluor450	marker
eFluor650NC	marker
eFluor670	marker
FDA	livedead
FITC	marker
FVD450	marker
Hoechst33342	livedead
PacBlue	marker
Pe	marker
PeCF594	marker
PeCy5	marker
PeCy7	marker
PeDazzle594	marker
PerCP	marker
PerCPCy5.5	marker
PerCPeF710	marker
PerCPVio770	marker
PeTexasRed	marker
PeVio615	marker
PeVio770	marker
PI	livedead
Resazurin	livedead
TO-PRO-3	livedead
TO-PRO3	livedead
TOPRO3	livedead
V450	marker
V500	marker
VioBlue	marker
VioBrightFITC	marker
VioGreen	marker
